target,province,local,govpos,domains,time,duration
陈希,北京,北京,清华大学团委副书记、书记，清华大学党委常委、系党委书记、校党委副书记、书记，教育部副部长,学政,1982,28
陈希,辽宁,沈阳,中共辽宁省委副书记,党,2010,1
陈希,北京,北京,中国科协党组书记、党组副主席、书记处第一书记,学,2011,2
陈希,北京,北京,中组部副部长/部长、中共中央书记处书记、中共中央党校校长、国家行政学院院长,党,2013,10
陈一新,浙江,丽水,丽水地委秘书、办公室副主任,党,1984,8
陈一新,浙江,杭州,中共浙江省委办公厅副处长、处长、副主任、副秘书长,党,1992,19
陈一新,浙江,金华,金华市委书记，金华军分区党委第一书记,党军,2011,2
陈一新,浙江,温州,温州市委书记，温州军分区党委第一书记,党军,2013,2
陈一新,北京,北京,中央全面深化改革领导小组办公室专职副主任,党,2015,1
陈一新,湖北,武汉,武汉市委书记、湖北省委副书记，武汉市人大常委会主任，武汉警备区党委第一书记,党政军,2016,2
陈一新,北京,北京,中央政法委委员、秘书长，中央全面依法治国委员会委员、办公室副主任，国家安全部部长、党委书记,党政,2018,5
马兴瑞,黑龙江,哈尔滨,哈工大系主任/副院长/副校长,学,1993,3
马兴瑞,北京,北京,中国空间技术研究院副院长，航天科工副总经理/经理；工信部副部长，国家航天局局长，国家原子能机构主任，国家国防科技工业局局长,学军政,1996,17
马兴瑞,广东,广州,广东省委副书记、政法委书记，省社工委主任,党,2013,2
马兴瑞,广东,深圳,广东省委副书记、政法委书记，深圳市委书记,党,2015,1
马兴瑞,广东,广州,广东省委副书记；省政府副省长/省长，党组书记，中央港澳工作协调小组成员,党政,2016,5
马兴瑞,新疆,乌鲁木齐,新疆维吾尔自治区党委委员、常委、书记；新疆生产建设兵团第一政委,党军,2021,2
袁家军,北京,北京,航空航天工业部五院副主任/副院长/院长/党委副书记,学军,1992,20
袁家军,宁夏,银川,宁夏回族自治区党委常委；自治区政府常务副主席,党政,2012,2
袁家军,浙江,杭州,浙江省委常委/副书记/书记/政法委书记/纪委书记；副省长/省长/省人大常委会主任,党政,2014,8
袁家军,重庆,重庆,重庆市委书记,党,2022,1
陈吉宁,北京,北京,清华大学系副主任/主任/副校长/校长；国务院环境部部长，北京市副市长/代市长/市长；北京市委副书记,党政学,1998,24
陈吉宁,上海,上海,上海市委书记,党,2022,1
尹力,北京,北京,国务院司干部/司副处长/司处长，卫生部办公厅副主任/主任/司长，卫生部部长，食品药品监督管理局局长,政,1993,22
尹力,四川,成都,四川省委副书记，宣传部部长；省长,党政,2015,5
尹力,福建,福州,福建省委书记；省人大常委会主任,党政,2020,2
尹力,北京,北京,北京市委书记,党,2022,1
